               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08294,            0.026625,            0.057805,             0.75864,             0.22468,             0.19267,            0.083932,            0.059119,            0.011284,            0.036701,           0.0033103,           0.0033103,            0.070207
                   1,            0.063229,            0.022288,            0.030165,             0.81836,             0.23559,             0.23773,             0.10827,            0.057901,           0.0095655,            0.022789,           0.0065779,           0.0065779,            0.040141
                   2,            0.058427,            0.021038,            0.025366,             0.77889,               0.179,             0.15551,            0.064397,            0.069162,            0.010664,            0.030798,           0.0097795,           0.0097795,            0.010009
                   3,            0.053554,            0.021775,            0.022912,             0.87205,             0.26163,             0.29226,             0.16234,            0.049172,           0.0098588,            0.023976,            0.009703,            0.009703,            0.009703
                   4,            0.048949,             0.02233,            0.021242,             0.90059,             0.24227,              0.2976,             0.16387,            0.049587,            0.010202,            0.023053,            0.009703,            0.009703,            0.009703
                   5,             0.04661,            0.021567,            0.021716,             0.87007,             0.25348,             0.28931,             0.16589,            0.048058,            0.010822,            0.026602,            0.009604,            0.009604,            0.009604
                   6,            0.045237,            0.021766,            0.019971,             0.82387,             0.30393,             0.32918,              0.1918,            0.046046,           0.0097656,            0.023079,            0.009505,            0.009505,            0.009505
                   7,            0.044453,            0.021198,            0.018876,             0.86232,              0.2974,             0.34017,             0.19778,            0.044301,           0.0094548,            0.019053,            0.009406,            0.009406,            0.009406
                   8,            0.043904,              0.0214,            0.017621,             0.84216,              0.3462,             0.36367,             0.21139,            0.044331,           0.0096438,            0.017672,            0.009307,            0.009307,            0.009307
                   9,            0.043353,            0.021317,            0.016705,             0.88527,             0.30819,             0.36986,             0.20759,            0.042127,           0.0094266,            0.019347,            0.009208,            0.009208,            0.009208
                  10,            0.042023,             0.02056,            0.015506,             0.86124,             0.30931,             0.34673,             0.20338,            0.043348,           0.0095925,            0.020234,            0.009109,            0.009109,            0.009109
                  11,            0.041002,            0.020494,             0.01555,             0.73818,             0.34174,             0.40192,             0.24003,            0.041334,           0.0091483,            0.022555,             0.00901,             0.00901,             0.00901
                  12,            0.040673,            0.020613,            0.015307,             0.80842,             0.35073,             0.37969,             0.23167,            0.041589,           0.0091898,            0.019354,            0.008911,            0.008911,            0.008911
                  13,            0.039644,             0.02016,            0.014635,             0.72992,             0.41993,             0.42468,             0.22831,            0.042359,            0.009136,            0.020588,            0.008812,            0.008812,            0.008812
                  14,             0.04004,            0.020133,            0.013443,             0.56512,             0.45611,             0.42885,             0.24946,            0.041841,           0.0093156,            0.017172,            0.008713,            0.008713,            0.008713
                  15,            0.039937,            0.019999,            0.014259,             0.81605,             0.33591,             0.41065,             0.23762,            0.042614,           0.0092313,            0.016996,            0.008614,            0.008614,            0.008614
                  16,            0.039525,            0.019636,             0.01388,             0.78694,             0.36421,             0.39321,              0.2353,             0.04246,            0.009408,            0.017002,            0.008515,            0.008515,            0.008515
                  17,            0.039737,            0.020091,            0.013258,             0.85052,             0.35892,             0.42474,             0.25278,            0.040056,           0.0091001,            0.018325,            0.008416,            0.008416,            0.008416
                  18,            0.038659,            0.019725,            0.013205,             0.74447,             0.41002,              0.4306,             0.26329,            0.039977,           0.0089517,            0.018637,            0.008317,            0.008317,            0.008317
                  19,            0.038644,             0.01956,            0.012043,             0.64226,             0.40577,             0.41462,              0.2529,            0.039024,           0.0090911,            0.017026,            0.008218,            0.008218,            0.008218
                  20,            0.037384,            0.019708,            0.011735,             0.75385,             0.38313,             0.44059,             0.26265,            0.040522,           0.0092462,            0.017183,            0.008119,            0.008119,            0.008119
                  21,            0.037486,            0.019769,            0.011331,             0.85137,             0.37373,              0.4644,             0.27838,            0.038964,           0.0088722,             0.01487,             0.00802,             0.00802,             0.00802
                  22,            0.036969,            0.018803,            0.011582,             0.64476,             0.43448,              0.4203,             0.25995,            0.040143,           0.0090297,            0.017336,            0.007921,            0.007921,            0.007921
                  23,            0.037422,            0.019632,            0.011202,             0.79427,             0.40644,             0.44889,             0.27452,            0.038666,           0.0086532,            0.016364,            0.007822,            0.007822,            0.007822
                  24,            0.036455,            0.019298,            0.011649,             0.78201,             0.39953,             0.48512,             0.28269,            0.039318,           0.0088395,            0.015743,            0.007723,            0.007723,            0.007723
                  25,            0.036289,            0.018995,             0.01061,             0.61219,             0.45494,             0.44866,             0.26998,            0.038298,           0.0089465,            0.016318,            0.007624,            0.007624,            0.007624
                  26,            0.036244,            0.018379,           0.0099605,             0.88273,             0.38628,             0.48039,             0.28223,            0.039905,           0.0086848,            0.012486,            0.007525,            0.007525,            0.007525
                  27,            0.035962,            0.018605,            0.010956,             0.67282,             0.41935,             0.46432,             0.27753,             0.03841,           0.0087824,            0.016738,            0.007426,            0.007426,            0.007426
                  28,            0.035835,            0.018695,            0.010265,             0.66004,             0.52359,             0.53527,             0.31221,            0.037599,            0.008617,             0.01532,            0.007327,            0.007327,            0.007327
                  29,            0.034914,            0.018029,           0.0098871,              0.7504,             0.43024,             0.52571,             0.30401,            0.038586,           0.0086986,            0.014389,            0.007228,            0.007228,            0.007228
                  30,            0.034975,            0.018135,           0.0088592,             0.74702,             0.44083,             0.49896,             0.30138,            0.038068,           0.0087767,            0.015355,            0.007129,            0.007129,            0.007129
                  31,            0.035183,            0.017976,           0.0085891,             0.67529,             0.48354,             0.50529,             0.30627,              0.0376,           0.0087244,            0.014439,             0.00703,             0.00703,             0.00703
                  32,            0.034535,            0.018274,           0.0092562,             0.84189,             0.39876,             0.48083,             0.29496,            0.037327,           0.0086742,            0.016836,            0.006931,            0.006931,            0.006931
                  33,            0.034753,            0.017954,           0.0095159,             0.76765,             0.44566,             0.48312,             0.29264,            0.037044,           0.0087417,            0.013959,            0.006832,            0.006832,            0.006832
                  34,            0.034201,            0.017765,           0.0087894,             0.76914,             0.43911,             0.49107,              0.2996,            0.037136,           0.0086045,            0.016108,            0.006733,            0.006733,            0.006733
                  35,            0.034605,            0.017818,           0.0081822,             0.76512,             0.45149,             0.48817,             0.30511,            0.036953,           0.0085368,            0.015247,            0.006634,            0.006634,            0.006634
                  36,             0.03379,            0.017894,           0.0082288,             0.78592,             0.42694,              0.5135,              0.3163,            0.037271,             0.00854,             0.01631,            0.006535,            0.006535,            0.006535
                  37,            0.034124,             0.01807,           0.0081208,             0.77907,             0.42843,             0.47252,             0.29542,            0.037183,           0.0086576,            0.017133,            0.006436,            0.006436,            0.006436
                  38,            0.033276,            0.017601,            0.007446,             0.78737,             0.42277,             0.50184,             0.29117,            0.037369,           0.0086193,            0.015953,            0.006337,            0.006337,            0.006337
                  39,            0.033306,            0.017447,           0.0072651,             0.78429,             0.49032,             0.49832,             0.31133,            0.036057,           0.0084468,            0.014988,            0.006238,            0.006238,            0.006238
                  40,            0.032512,            0.017793,           0.0074497,             0.73655,             0.45568,             0.48749,             0.29555,            0.037224,           0.0085687,            0.014819,            0.006139,            0.006139,            0.006139
                  41,            0.032721,            0.017706,           0.0075994,              0.7291,              0.4435,             0.47404,             0.30075,            0.036787,           0.0084662,            0.014357,             0.00604,             0.00604,             0.00604
                  42,            0.032777,            0.017354,           0.0072666,             0.75922,             0.42156,             0.47716,              0.2996,            0.036895,            0.008433,            0.011407,            0.005941,            0.005941,            0.005941
                  43,            0.032787,            0.017069,           0.0070684,             0.70211,             0.53546,              0.5268,             0.31174,            0.036226,           0.0084444,            0.013063,            0.005842,            0.005842,            0.005842
                  44,            0.032398,            0.017376,           0.0063759,             0.79575,             0.47534,             0.52096,             0.31853,            0.036535,           0.0084061,            0.013943,            0.005743,            0.005743,            0.005743
                  45,            0.031777,            0.016806,           0.0070903,              0.7668,             0.44738,             0.48096,             0.30196,            0.036636,           0.0085914,            0.016636,            0.005644,            0.005644,            0.005644
                  46,            0.031765,            0.017489,           0.0066854,             0.72191,             0.48754,             0.49687,             0.30566,            0.036622,           0.0084677,            0.015278,            0.005545,            0.005545,            0.005545
                  47,            0.031856,            0.017138,           0.0071092,             0.73747,             0.42722,              0.5075,             0.31969,             0.03651,            0.008449,            0.016423,            0.005446,            0.005446,            0.005446
                  48,            0.031457,            0.016891,           0.0059657,             0.81147,             0.47473,             0.50147,             0.30374,            0.036724,           0.0084407,            0.016402,            0.005347,            0.005347,            0.005347
                  49,            0.031691,            0.016799,           0.0065382,             0.73315,             0.45181,             0.48445,             0.31139,            0.036157,           0.0084166,            0.015541,            0.005248,            0.005248,            0.005248
                  50,            0.031451,            0.016614,           0.0066055,             0.71024,             0.48364,             0.47495,             0.28862,             0.03592,           0.0084839,            0.014907,            0.005149,            0.005149,            0.005149
                  51,            0.031016,            0.016497,            0.006785,             0.76616,             0.50537,             0.55706,             0.33006,            0.036572,           0.0083629,            0.013901,             0.00505,             0.00505,             0.00505
                  52,            0.030477,            0.016453,           0.0067646,             0.81999,             0.51236,             0.54932,             0.32477,            0.036006,           0.0085316,            0.016127,            0.004951,            0.004951,            0.004951
                  53,            0.030581,             0.01656,           0.0066487,             0.81435,             0.50393,              0.5366,             0.32556,            0.036075,            0.008382,            0.017804,            0.004852,            0.004852,            0.004852
                  54,            0.031043,            0.016827,           0.0064292,             0.72837,              0.5398,             0.52173,              0.3208,            0.036287,           0.0086327,            0.015732,            0.004753,            0.004753,            0.004753
                  55,            0.030387,            0.016202,           0.0066199,             0.76081,             0.50714,             0.54549,             0.33246,            0.035759,           0.0084647,             0.01569,            0.004654,            0.004654,            0.004654
                  56,            0.030372,            0.016349,           0.0057652,             0.81494,             0.50488,             0.55811,             0.33047,             0.03615,           0.0085799,            0.014496,            0.004555,            0.004555,            0.004555
                  57,            0.030471,            0.016498,           0.0056373,             0.87699,             0.44335,             0.55539,             0.34341,            0.035616,            0.008491,             0.01353,            0.004456,            0.004456,            0.004456
                  58,            0.029214,            0.016071,           0.0055522,             0.81132,             0.47401,             0.57158,             0.35309,            0.035636,           0.0085184,            0.013928,            0.004357,            0.004357,            0.004357
                  59,            0.029875,            0.016329,           0.0054622,             0.85249,             0.50155,             0.58229,             0.34486,             0.03542,           0.0084536,            0.014121,            0.004258,            0.004258,            0.004258
                  60,            0.029598,            0.015794,           0.0052754,             0.89713,             0.47848,             0.59066,             0.36134,            0.035658,           0.0085415,            0.013025,            0.004159,            0.004159,            0.004159
                  61,            0.029258,             0.01614,           0.0059382,             0.83702,             0.46621,             0.60826,              0.3694,             0.03596,           0.0085383,            0.014054,             0.00406,             0.00406,             0.00406
                  62,            0.029394,            0.015967,           0.0055398,             0.78132,             0.49068,             0.54744,             0.32656,             0.03523,           0.0085284,            0.013537,            0.003961,            0.003961,            0.003961
                  63,            0.028756,             0.01549,            0.004949,             0.83846,             0.47192,             0.57512,             0.35138,            0.035677,           0.0087788,            0.013672,            0.003862,            0.003862,            0.003862
                  64,             0.02886,            0.015732,            0.005497,             0.73127,             0.53229,             0.54907,             0.34224,            0.035679,           0.0084965,            0.014519,            0.003763,            0.003763,            0.003763
                  65,            0.029246,            0.015773,           0.0053015,             0.80947,             0.49189,             0.60638,             0.36767,            0.035528,           0.0084475,            0.014218,            0.003664,            0.003664,            0.003664
                  66,            0.028794,            0.015503,            0.005269,             0.79469,             0.51062,              0.6139,             0.37709,            0.035598,           0.0085749,            0.017345,            0.003565,            0.003565,            0.003565
                  67,            0.029001,            0.015678,           0.0054875,              0.8105,             0.50138,             0.54922,             0.34918,            0.035573,           0.0086289,            0.015909,            0.003466,            0.003466,            0.003466
                  68,            0.028469,            0.015962,           0.0049339,             0.82247,              0.4844,             0.59577,             0.36606,            0.035058,           0.0085734,            0.012366,            0.003367,            0.003367,            0.003367
                  69,            0.028688,            0.015585,           0.0047798,             0.80944,             0.49667,             0.58536,             0.37164,             0.03549,            0.008417,            0.014121,            0.003268,            0.003268,            0.003268
                  70,            0.028507,             0.01575,           0.0046262,             0.85546,              0.5207,             0.63582,             0.39792,            0.034874,            0.008546,            0.013831,            0.003169,            0.003169,            0.003169
                  71,            0.028028,            0.015571,           0.0045904,             0.88699,             0.43667,             0.59977,             0.36825,            0.034858,           0.0085628,            0.015364,             0.00307,             0.00307,             0.00307
                  72,            0.027734,            0.015318,           0.0043199,             0.88279,             0.45048,             0.59176,             0.37455,            0.034902,           0.0083274,            0.015374,            0.002971,            0.002971,            0.002971
                  73,            0.027518,            0.015385,           0.0046546,             0.73405,             0.56446,             0.59954,             0.37833,             0.03476,           0.0084214,            0.013426,            0.002872,            0.002872,            0.002872
                  74,            0.027152,            0.015191,           0.0043499,             0.90018,             0.46342,             0.59979,             0.36182,            0.035087,           0.0085051,            0.013966,            0.002773,            0.002773,            0.002773
                  75,            0.027317,            0.015288,           0.0047239,             0.79513,             0.54127,             0.60736,             0.35616,            0.035532,           0.0086036,            0.013876,            0.002674,            0.002674,            0.002674
                  76,            0.027105,            0.015309,           0.0044521,             0.81695,             0.52906,             0.61246,             0.37226,            0.035234,            0.008566,            0.014247,            0.002575,            0.002575,            0.002575
                  77,            0.026619,             0.01534,           0.0038718,             0.88629,             0.47599,             0.58384,             0.35681,            0.035154,           0.0086356,            0.012561,            0.002476,            0.002476,            0.002476
                  78,            0.027096,             0.01523,           0.0040464,             0.81471,             0.48135,             0.57762,              0.3539,            0.035549,           0.0085196,            0.013288,            0.002377,            0.002377,            0.002377
                  79,            0.026792,            0.015029,           0.0041712,             0.87529,             0.48317,             0.59156,             0.37683,            0.034866,           0.0086185,            0.013658,            0.002278,            0.002278,            0.002278
                  80,            0.026216,            0.015153,           0.0038617,              0.9058,             0.44937,             0.60025,             0.36717,             0.03499,           0.0086505,            0.015118,            0.002179,            0.002179,            0.002179
                  81,            0.026177,             0.01468,           0.0038632,             0.82135,             0.53411,             0.61965,             0.37987,            0.034945,            0.008604,            0.015496,             0.00208,             0.00208,             0.00208
                  82,            0.026514,            0.015196,           0.0040757,             0.88387,             0.46298,             0.59089,             0.37392,            0.035096,           0.0086567,            0.015954,            0.001981,            0.001981,            0.001981
                  83,            0.026136,            0.014814,            0.003801,             0.84503,              0.5445,             0.63336,             0.39278,            0.035032,           0.0087677,            0.015145,            0.001882,            0.001882,            0.001882
                  84,            0.025442,            0.014656,           0.0039879,             0.86993,             0.51959,              0.6216,              0.3857,            0.035291,           0.0087145,            0.015308,            0.001783,            0.001783,            0.001783
                  85,            0.025555,            0.014069,           0.0038736,             0.81109,             0.50688,             0.60049,             0.38197,            0.034821,           0.0086327,            0.014882,            0.001684,            0.001684,            0.001684
                  86,             0.02591,            0.014611,           0.0035916,             0.86013,             0.46851,             0.59403,             0.37478,            0.034768,            0.008617,            0.015898,            0.001585,            0.001585,            0.001585
                  87,             0.02528,            0.014098,           0.0034329,             0.87913,             0.45993,             0.58844,             0.38182,            0.035015,            0.008797,            0.014231,            0.001486,            0.001486,            0.001486
                  88,            0.025183,             0.01442,            0.003709,             0.85199,             0.48812,             0.58996,             0.37946,            0.035019,           0.0087121,            0.014744,            0.001387,            0.001387,            0.001387
                  89,            0.025296,            0.014045,           0.0033615,              0.8817,             0.45079,             0.58691,              0.3736,            0.035197,           0.0087753,            0.014233,            0.001288,            0.001288,            0.001288
                  90,            0.024964,            0.014379,           0.0034074,             0.59405,             0.57805,             0.58914,             0.38153,            0.034956,           0.0088249,            0.013881,            0.001189,            0.001189,            0.001189
                  91,            0.024695,            0.013917,           0.0033546,              0.8682,             0.48406,             0.59734,             0.38097,            0.034852,           0.0087022,            0.014807,             0.00109,             0.00109,             0.00109
                  92,            0.024918,            0.014726,           0.0033845,             0.85046,             0.49569,             0.59417,             0.38404,            0.034861,           0.0087979,            0.013964,            0.000991,            0.000991,            0.000991
                  93,            0.024738,            0.014194,            0.003068,             0.87281,             0.49584,             0.60825,             0.39171,            0.034847,           0.0087407,            0.013635,            0.000892,            0.000892,            0.000892
                  94,            0.024761,            0.014045,           0.0034537,             0.87074,             0.46707,             0.59081,              0.3825,            0.034853,             0.00888,            0.014829,            0.000793,            0.000793,            0.000793
                  95,            0.024442,            0.014205,           0.0032393,             0.88404,             0.47692,              0.6021,             0.38512,            0.034886,           0.0088008,            0.014733,            0.000694,            0.000694,            0.000694
                  96,            0.024741,            0.014416,           0.0031595,             0.59995,             0.58632,             0.58861,             0.37272,            0.034901,           0.0089435,            0.014966,            0.000595,            0.000595,            0.000595
                  97,            0.024424,            0.013919,           0.0030532,             0.59852,             0.59893,             0.59929,             0.37988,            0.034792,           0.0089194,            0.014646,            0.000496,            0.000496,            0.000496
                  98,             0.02448,             0.01411,            0.002992,              0.6171,             0.58245,             0.59684,             0.38812,            0.034758,           0.0088927,            0.014966,            0.000397,            0.000397,            0.000397
                  99,            0.024112,            0.013638,           0.0028507,             0.72238,             0.55868,             0.59899,             0.38961,            0.034726,           0.0089118,            0.014934,            0.000298,            0.000298,            0.000298
